2026-07-29 12:09:35 | INFO     | __main__:collect_document:37 | Collecting metadata for document: all_packages.txt
2026-07-29 12:09:45 | INFO     | __main__:ingestion_service:66 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:14:34 | INFO     | __main__:collect_document:37 | Collecting metadata for document: all_packages.txt
2026-07-29 12:14:38 | INFO     | __main__:ingestion_service:66 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:15:47 | INFO     | __main__:collect_document:37 | Collecting metadata for document: all_packages.txt
2026-07-29 12:15:50 | INFO     | __main__:ingestion_service:66 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:22:59 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:23:03 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:28:57 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:29:01 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:35:47 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:35:59 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:36:03 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:36:59 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:37:01 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:37:43 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:37:46 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:37:49 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:39:13 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:39:19 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:39:45 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:39:47 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:47:54 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:47:56 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:56:24 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:56:27 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:58:23 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:58:25 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 12:59:18 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 12:59:20 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 13:08:09 | INFO     | __main__:collect_document:39 | Collecting metadata for document: all_packages.txt
2026-07-29 13:08:11 | INFO     | __main__:ingestion_service:68 | Ingestion Service started for document: all_packages.txt
2026-07-29 13:08:11 | ERROR    | __main__:ingestion_service:84 | Ingestion failed for document 'all_packages.txt. 

connection failed: connection to server at "127.0.0.1", port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?'
