2026-08-28 14:00:30 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 0.0
2026-08-28 14:01:18 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 0.0
2026-08-28 14:08:41 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 476.66
2026-08-28 14:11:47 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 465.1
2026-08-28 14:14:58 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 479.16
2026-08-28 14:16:14 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 460.16
2026-08-28 15:40:45 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 397.18
2026-08-28 17:56:51 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 404.34
2026-08-28 17:57:26 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 381.47
2026-08-28 18:06:57 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 417.84
2026-08-28 18:09:23 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 475.23
2026-08-28 18:10:53 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 424.02
2026-08-28 23:56:32 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 493.26
2026-08-29 00:02:12 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 227.63
2026-08-29 00:08:24 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 151.95
2026-08-29 00:10:31 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 168.04
2026-08-29 00:17:36 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 406.39
2026-08-29 00:19:07 | INFO     | p2p_knowledge_hub.core.timing:wrapper_function:21 | latency time for CrossEncoderReranker.rerank is 402.75
2026-08-29 00:27:40 | INFO     | p2p_knowledge_hub.services.ingestion_service:ingestion_service:92 | Ingestion Service started for document: Chapter 2 University Procurement Services Procedures Manual_0.pdf
2026-08-29 00:27:40 | ERROR    | p2p_knowledge_hub.services.ingestion_service:ingestion_service:148 | [bold red blink]Ingestion failed for documentChapter 2 University Procurement Services Procedures Manual_0.pdf. 

connection failed: connection to server at "127.0.0.1", port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
2026-08-29 00:27:40 | ERROR    | api.main:db_connection_exception_handler:23 | [bold red blink]Ingestion failed for document . 

['ERROR: Could not connect to the database.', '', 'connection failed: connection to server at "127.0.0.1", port 5432 failed: Connection refused', '\tIs the server running on that host and accepting TCP/IP connections?']
2026-08-29 00:27:58 | INFO     | p2p_knowledge_hub.services.ingestion_service:ingestion_service:92 | Ingestion Service started for document: Chapter 2 University Procurement Services Procedures Manual_0.pdf
2026-08-29 00:27:58 | DEBUG    | p2p_knowledge_hub.services.ingestion_service:ingestion_service:130 | New version found for ShoppingCart.pdf
2026-08-29 00:27:58 | INFO     | p2p_knowledge_hub.services.ingestion_service:ingestion_service:140 | New version metada Injected to the database for Chapter 2 University Procurement Services Procedures Manual_0.pdf
2026-08-29 00:27:58 | INFO     | p2p_knowledge_hub.services.ingestion_service:update_status:179 | Document status updated as processing
